Direction,Pitch,Roll,Yaw
Bottom,4,57,-33
Bottom,4,57,-34
Bottom,4,57,-34
Bottom,4,57,-35
Bottom,4,57,-35
Bottom,4,57,-35
Bottom,5,56,-36
Bottom,5,57,-37
Bottom,5,57,-37
Bottom,5,57,-37
Bottom,5,57,-38
Bottom,5,57,-38
Bottom,5,57,-38
Bottom,5,57,-39
Left,5,56,-39
Left,5,56,-39
Left,5,53,-41
Left,18,32,-49
Left,28,20,-50
Left,32,10,-47
Left,34,8,-47
Left,34,9,-48
Left,34,9,-47
Left,34,9,-47
Left,35,8,-46
Left,35,6,-45
Left,36,6,-45
Left,36,6,-45
Left,36,6,-44
Left,36,6,-44
Left,36,6,-43
Left,36,6,-42
Left,36,6,-42
Left,35,6,-42
Left,35,6,-41
Left,35,5,-40
Left,34,4,-39
Left,34,5,-38
Left,32,7,-38
Left,32,6,-37
Left,32,6,-36
Left,31,5,-36
Left,31,5,-35
Left,31,5,-36
Left,31,5,-36
Left,31,6,-36
Left,31,6,-36
Left,31,6,-36
Left,31,6,-36
Left,31,6,-36
Left,32,7,-35
Left,32,6,-35
Left,32,6,-35
Left,32,6,-35
Left,32,6,-35
Left,33,6,-35
Left,33,6,-35
Left,35,7,-36
Left,35,8,-36
Left,36,8,-36
Left,36,8,-36
Left,37,9,-36
Left,40,9,-37
Left,41,10,-38
Left,42,13,-39
Left,46,13,-39
Left,48,16,-41
Left,48,17,-42
Left,48,17,-42
Left,47,16,-42
Left,46,15,-41
Left,45,14,-40
Left,44,14,-40
Left,44,13,-39
Top,54,144,-132
Top,54,141,-128
Top,56,137,-126
Top,57,111,-124
Top,60,103,-124
Top,62,93,-121
Top,62,88,-118
Top,63,84,-114
Top,64,79,-110
Top,65,74,-106
Top,65,69,-101
Top,66,65,-97
Top,66,62,-94
Top,67,59,-90
Top,67,55,-88
Top,67,52,-84
Top,67,48,-80
Top,67,43,-76
Top,67,40,-73
Top,67,36,-69
Top,67,32,-66
Top,66,28,-63
Top,66,25,-59
Top,65,22,-56
Top,65,19,-54
Top,64,15,-51
Top,63,14,-50
Top,63,12,-48
Top,62,10,-46
Top,61,8,-44
Top,60,6,-42
Top,60,4,-40
Top,59,2,-39
Top,58,0,-37
Top,57,-1,-36
Top,56,-3,-35
Top,56,-4,-34
Top,55,-5,-33
Top,54,-6,-32
Top,53,-7,-31
Top,52,-8,-30
Top,51,-9,-29
Top,51,-10,-28
Top,50,-11,-27
Top,49,-12,-26
Top,48,-13,-26
Top,47,-13,-25
Top,47,-14,-25
Top,46,-15,-24
Top,45,-16,-24
Top,44,-16,-23
Top,44,-17,-23
Top,43,-17,-22
Top,42,-18,-22
Top,42,-18,-21
Top,41,-19,-21
Top,41,-19,-21
Top,40,-20,-20
Top,39,-20,-20
Top,39,-21,-20
Top,38,-21,-19
Top,37,-22,-19
Top,37,-22,-19
Top,36,-22,-19
Top,36,-23,-19
Top,35,-23,-18
Top,34,-23,-18
Top,34,-23,-18
Top,33,-24,-18
Top,33,-24,-18
Right,32,-24,-18
Right,32,-25,-18
Right,30,-22,-18
Right,20,-2,-22
Right,1,10,-16
Right,-6,16,-11
Right,-8,16,-11
Right,-8,16,-10
Right,-8,16,-10
Right,-8,16,-9
Right,-10,16,-8
Right,-11,15,-8
Right,-11,15,-8
Right,-12,15,-8
Right,-12,14,-8
Right,-12,14,-8
Right,-13,14,-8
Right,-13,14,-7
Right,-13,14,-7
Right,-14,14,-7
Right,-14,14,-7
Right,-14,13,-7
Right,-15,13,-7
Right,-15,13,-6
Right,-15,13,-6
Right,-15,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-16,13,-6
Right,-17,13,-5
Right,-17,13,-5
Right,-17,13,-5
Right,-18,13,-5
Right,-18,13,-5
Right,-18,13,-5
Right,-19,13,-4
Right,-19,13,-4
Right,-19,13,-4
Right,-19,13,-4
Right,-19,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-20,13,-4
Right,-21,13,-4
Right,-21,13,-4
Right,-21,13,-3
Right,-21,13,-3
Right,-22,13,-3
Right,-22,12,-3
Right,-22,12,-3
Right,-22,12,-3
Right,-22,12,-3
Right,-22,12,-3
Right,-23,12,-3
Right,-22,12,-3
Right,-23,12,-3
Right,-23,12,-3
Right,-23,12,-3
Right,-23,12,-3
Right,-23,13,-3
Right,-23,12,-2
Right,-24,12,-2
Bottom,-24,12,-2
Bottom,-24,13,-2
Bottom,-19,16,-3
Bottom,-4,25,-5
Bottom,6,36,-7
Bottom,8,48,-7
Bottom,11,55,-8
Bottom,11,56,-8
Bottom,10,57,-9
Bottom,10,57,-9
Bottom,10,57,-10
Bottom,10,57,-11
Bottom,10,57,-11
Bottom,9,57,-12
Bottom,9,57,-13
Bottom,10,57,-13
Bottom,9,57,-14
Bottom,9,57,-15
Bottom,9,57,-16
Bottom,9,57,-16
Bottom,9,57,-17
Bottom,9,57,-18
Bottom,9,57,-19
Bottom,8,57,-19
Bottom,8,57,-20
Bottom,8,58,-20
Bottom,8,58,-21
Bottom,8,58,-21
Bottom,8,58,-22
Bottom,8,58,-23
Bottom,7,58,-23
Bottom,7,58,-24
Bottom,7,58,-24
Bottom,7,58,-25
Bottom,7,58,-25
Bottom,7,58,-25
Bottom,7,58,-26
Bottom,7,58,-26
Bottom,7,58,-27
Bottom,6,58,-27
Bottom,6,57,-28
Bottom,6,57,-28
Bottom,6,57,-29
Bottom,6,57,-29
Bottom,6,57,-30
Bottom,6,57,-30
Bottom,6,57,-31
Bottom,6,57,-31
Bottom,6,57,-32
Bottom,6,57,-32
Bottom,6,57,-32
Bottom,6,57,-33
Bottom,6,57,-33
Bottom,6,57,-33
Bottom,6,56,-34
Bottom,6,57,-34
Bottom,6,57,-34
Bottom,6,57,-34
Bottom,6,57,-35
Bottom,6,57,-35
Bottom,6,57,-35
Bottom,6,57,-35
Bottom,5,57,-36
Bottom,5,57,-36
Bottom,5,57,-36
Bottom,5,57,-37
Bottom,5,57,-37
Bottom,5,57,-37
Bottom,5,57,-37
Bottom,5,57,-38
Left,5,57,-38
Left,5,57,-38
Left,6,55,-39
Left,14,41,-42
Left,33,21,-44
Left,36,13,-45
Left,41,9,-43
Left,43,9,-44
Left,44,11,-46
Left,45,11,-46
Left,44,11,-45
Left,43,10,-45
Left,42,10,-43
Left,41,9,-43
Left,41,9,-43
Left,42,8,-42
Left,41,8,-42
Left,40,8,-41
Left,41,8,-40
Left,41,8,-40
Left,42,8,-40
Left,42,8,-40
Left,41,8,-40
Left,41,8,-40
Left,41,8,-39
Left,41,8,-39
Left,41,7,-38
Left,41,7,-38
Left,40,7,-38
Left,40,7,-37
Left,40,7,-37
Left,40,7,-37
Left,40,6,-37
Left,40,6,-36
Left,40,6,-36
Left,40,6,-36
Left,40,6,-36
Left,40,6,-36
Left,41,6,-35
Left,41,6,-35
Left,41,6,-35
Left,41,7,-35
Left,41,8,-36
Left,40,11,-37
Left,41,13,-38
Left,42,13,-39
Left,42,15,-41
Left,43,15,-41
Left,43,15,-41
Left,43,15,-40
Left,42,14,-39
Left,42,14,-39
Left,41,13,-39
Left,41,13,-38
Left,41,13,-38
Left,40,12,-37
Left,40,12,-37
Left,40,12,-37
Left,40,12,-37
Left,41,12,-37
Left,41,13,-38
Left,40,13,-38
Left,41,13,-37
Left,41,12,-37
Left,41,12,-37
Left,40,11,-36
Left,40,11,-36
Left,40,11,-36
Left,40,11,-36
Left,40,10,-36
Top,61,37,-49
Top,60,36,-47
Top,60,33,-46
Top,56,4,-45
Top,57,-17,-43
Top,57,-21,-43
Top,57,-22,-42
Top,57,-22,-41
Top,56,-23,-40
Top,55,-24,-39
Top,54,-25,-38
Top,53,-26,-37
Top,53,-26,-36
Top,52,-27,-35
Top,51,-28,-35
Top,50,-28,-34
Top,49,-29,-34
Top,48,-30,-33
Top,48,-30,-32
Top,47,-31,-32
Top,46,-31,-31
Top,46,-32,-30
Top,45,-32,-30
Top,44,-33,-30
Top,43,-33,-29
Top,42,-34,-29
Top,42,-34,-28
Top,41,-34,-28
Top,40,-35,-28
Top,40,-35,-27
Top,39,-35,-27
Top,38,-35,-27
Top,37,-36,-26
Top,37,-36,-26
Top,36,-36,-26
Top,36,-36,-25
Top,35,-37,-25
Top,34,-37,-25
Top,34,-37,-25
Top,33,-37,-24
Top,33,-37,-24
Top,32,-37,-24
Top,32,-37,-24
Top,31,-37,-24
Top,30,-38,-24
Top,30,-38,-23
Top,30,-38,-23
Top,29,-38,-23
Top,29,-38,-23
Top,28,-38,-23
Top,28,-38,-23
Top,27,-38,-22
Top,27,-39,-22
Top,26,-39,-22
Top,26,-39,-22
Top,26,-39,-22
Top,25,-39,-22
Top,25,-39,-22
Top,25,-39,-21
Top,24,-39,-21
Top,24,-39,-21
Top,24,-39,-21
Top,23,-40,-21
Top,23,-40,-21
Top,22,-40,-21
Top,22,-40,-21
Top,21,-40,-21
Top,21,-40,-21
Top,20,-40,-21
Top,20,-40,-21
Top,20,-40,-21
Top,19,-40,-20
Top,19,-40,-20
Top,19,-40,-20
Top,18,-40,-20
Top,18,-41,-20
Top,18,-41,-20
Top,17,-41,-20
Top,17,-41,-20
Top,17,-41,-20
Right,17,-41,-20
Right,17,-41,-20
Right,13,-36,-21
Right,-1,-12,-24
Right,-14,5,-20
Right,-24,11,-16
Right,-27,11,-14
Right,-28,11,-14
Right,-28,11,-13
Right,-28,11,-13
Right,-28,11,-13
Right,-28,11,-13
Right,-28,11,-12
Right,-29,11,-12
Right,-29,11,-12
Right,-29,11,-11
Right,-29,10,-11
Right,-29,10,-11
Right,-28,10,-11
Right,-28,10,-11
Right,-28,10,-10
Right,-28,10,-10
Right,-28,10,-10
Right,-28,10,-10
Right,-28,10,-10
Right,-29,10,-9
Right,-29,9,-9
Right,-29,9,-9
Right,-29,9,-9
Right,-29,9,-9
Right,-29,9,-8
Right,-30,9,-8
Right,-30,9,-8
Right,-30,9,-8
Right,-30,10,-8
Right,-30,9,-8
Right,-30,9,-7
Right,-30,10,-7
Right,-30,9,-7
Right,-30,9,-7
Right,-30,9,-7
Right,-31,9,-7
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-6
Right,-31,9,-5
Right,-32,9,-5
Right,-32,9,-5
Right,-32,9,-5
Right,-32,8,-5
Right,-32,8,-5
Right,-32,8,-5
Right,-32,8,-5
Right,-32,8,-5
Right,-32,8,-5
Right,-32,8,-4
